industry_category,stock_id,stock_name,type,date
上櫃ETF,00727B,國泰優選非投等債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00727B,國泰優選非投等債,tpex,2024-12-31
ETF,00728,第一金工業30,twse,2025-11-15
ETF,00729R,第一金工業30反1,twse,2024-12-05
ETF,00730,富邦臺灣優質高息,twse,2025-11-15
ETF,00731,復華富時高息低波,twse,2025-11-15
ETF,00732,國泰RMB短期報酬,twse,2024-12-05
ETF,00733,富邦臺灣中小,twse,2025-11-15
上櫃ETF,00734B,台新JPM新興債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00734B,台新JPM新興債,tpex,2024-12-31
ETF,00735,國泰臺韓科技,twse,2025-11-15
ETF,00736,國泰新興市場,twse,2025-11-15
ETF,00737,國泰AI機器人,twse,2025-11-15
ETF,00738U,期元大道瓊白銀,twse,2025-11-15
ETF,00739,元大MSCI A股,twse,2025-11-15
上櫃ETF,00740B,富邦全球投等債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00740B,富邦全球投等債,tpex,2024-12-31
上櫃ETF,00741B,富邦全球非投等債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00741B,富邦全球非投等債,tpex,2024-12-31
ETF,00742,新光內需收益,twse,2024-12-05
ETF,00743,國泰中國A150,twse,2024-12-05
上櫃指數股票型基金(ETF),00744B,國泰中國政金債5+,tpex,2023-11-22
上櫃指數股票型基金(ETF),00745B,富邦中政債0-1,tpex,2022-12-11
上櫃ETF,00746B,富邦A級公司債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00746B,富邦A級公司債,tpex,2024-12-31
上櫃指數股票型基金(ETF),00747B,FH中國政策債,tpex,2022-12-28
上櫃指數股票型基金(ETF),00748B,凱基中國債3-10,tpex,2023-02-22
上櫃ETF,00749B,凱基新興債10+,tpex,2025-11-14
上櫃指數股票型基金(ETF),00749B,凱基新興債10+,tpex,2024-12-31
上櫃ETF,00750B,凱基科技債10+,tpex,2025-11-14
上櫃指數股票型基金(ETF),00750B,凱基科技債10+,tpex,2024-12-31
上櫃ETF,00751B,元大AAA至A公司債,tpex,2025-11-14
